                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7746,                 2.5306,                 1.4115,                 1.7016,                 3.7799,                  1.349,                0.00809,                0.53715,                 0.1422,                0.08783,                 1.6925,                 2.9954,                 1.4623,                 1.4642,                 4.6195,                 1.3608,              0.0005467,              0.0005467,              0.0005467
                      2,                 1.5554,                 1.7822,                 1.2409,                  1.555,                  2.885,                 1.1726,                0.64046,                0.20526,                0.22689,                0.14455,                 1.6217,                  2.481,                 1.4243,                  1.575,                 3.6721,                 1.3616,               0.001066,               0.001066,               0.001066
                      3,                 1.4903,                 1.6413,                 1.2053,                 1.5172,                 2.4576,                 1.1394,                0.35491,                0.35816,                0.29231,                0.16662,                 1.6822,                 2.0466,                 1.4215,                 1.6737,                 3.0131,                 1.3636,              0.0015486,              0.0015486,              0.0015486
                      4,                 1.4605,                 1.5749,                 1.1925,                 1.5378,                 2.1759,                 1.1215,                0.41448,                0.44417,                0.34196,                0.18906,                 1.5517,                  1.796,                 1.3236,                 1.5814,                 2.6497,                  1.279,               0.001502,               0.001502,               0.001502
                      5,                 1.4288,                 1.4855,                 1.1786,                 1.4793,                 1.9422,                 1.1131,                0.46813,                0.45823,                0.40332,                0.23398,                  1.485,                 1.6794,                 1.2637,                 1.4771,                  2.242,                 1.2131,               0.001502,               0.001502,               0.001502
                      6,                 1.3741,                 1.4121,                 1.1482,                 1.4341,                 1.7803,                 1.0885,                0.39509,                0.42864,                0.34352,                0.20132,                 1.4706,                 1.7603,                 1.2708,                 1.5291,                 2.1942,                 1.2191,               0.001447,               0.001447,               0.001447
                      7,                 1.3896,                 1.3925,                 1.1538,                 1.4658,                 1.6742,                  1.083,                0.43449,                0.46395,                0.42876,                0.25879,                 1.4734,                 1.4854,                 1.2291,                 1.4779,                 1.8326,                 1.1891,              0.0013919,              0.0013919,              0.0013919
                      8,                 1.3195,                 1.3138,                  1.122,                 1.3896,                 1.5818,                 1.0666,                0.41041,                 0.5142,                0.43022,                0.26046,                 1.4079,                 1.5272,                  1.229,                 1.4455,                 1.8817,                 1.1825,              0.0013369,              0.0013369,              0.0013369
                      9,                 1.3409,                 1.3499,                 1.1353,                 1.4132,                 1.5866,                 1.0694,                0.51629,                0.47734,                0.46579,                0.27824,                 1.4592,                 1.5061,                 1.2494,                 1.4868,                 1.7075,                 1.1869,              0.0012819,              0.0012819,              0.0012819
                     10,                 1.3274,                 1.2836,                  1.121,                 1.4083,                 1.4866,                 1.0637,                0.42841,                 0.5239,                0.45209,                0.27375,                 1.5255,                 1.4253,                 1.2491,                 1.5087,                 1.7141,                 1.1909,              0.0012269,              0.0012269,              0.0012269
                     11,                 1.2974,                 1.2514,                 1.1123,                 1.3637,                 1.4457,                 1.0521,                0.40356,                0.56234,                0.42482,                0.26325,                 1.3466,                 1.4989,                 1.1864,                 1.3711,                 1.6601,                 1.1281,              0.0011719,              0.0011719,              0.0011719
                     12,                 1.2975,                 1.2372,                 1.1083,                 1.3726,                  1.424,                  1.047,                0.45154,                0.52907,                0.47095,                0.28657,                 1.4017,                 1.5011,                 1.2107,                 1.3841,                 1.6734,                 1.1591,              0.0011169,              0.0011169,              0.0011169
                     13,                 1.2993,                 1.2518,                 1.1149,                   1.36,                 1.4254,                 1.0456,                0.52258,                0.53506,                 0.4882,                0.30135,                   1.34,                 1.4291,                 1.1847,                 1.3474,                 1.6259,                 1.1174,              0.0010619,              0.0010619,              0.0010619
                     14,                 1.2606,                 1.2037,                 1.0966,                 1.3385,                 1.3647,                 1.0347,                0.48358,                0.53265,                0.50456,                0.31934,                 1.3584,                 1.3134,                 1.1841,                 1.3817,                 1.4742,                 1.1353,              0.0010069,              0.0010069,              0.0010069
                     15,                 1.2656,                 1.1838,                 1.0908,                 1.3372,                 1.3204,                 1.0317,                0.45972,                0.56329,                0.49891,                0.30595,                 1.3296,                 1.3226,                 1.1756,                 1.3751,                 1.4935,                 1.1246,             0.00095186,             0.00095186,             0.00095186
                     16,                   1.23,                 1.1465,                 1.0862,                 1.3055,                 1.2637,                 1.0261,                0.46152,                0.58464,                0.52891,                0.32217,                 1.2913,                 1.3599,                 1.1649,                 1.3326,                 1.4674,                 1.1036,             0.00089685,             0.00089685,             0.00089685
                     17,                  1.228,                  1.128,                 1.0894,                 1.2986,                 1.2587,                 1.0302,                0.47245,                0.57231,                0.52293,                0.31107,                 1.3326,                 1.3218,                 1.1622,                 1.3761,                  1.454,                  1.122,             0.00084184,             0.00084184,             0.00084184
                     18,                 1.2182,                 1.1368,                 1.0765,                 1.3031,                 1.2314,                  1.016,                0.47221,                0.55719,                0.52637,                  0.319,                 1.3222,                 1.2483,                 1.1586,                 1.3813,                 1.3884,                 1.1169,             0.00078682,             0.00078682,             0.00078682
                     19,                 1.2265,                 1.1278,                 1.0751,                 1.3057,                 1.2357,                 1.0118,                0.52567,                0.54565,                0.56972,                0.34945,                 1.2916,                 1.2366,                 1.1445,                 1.3594,                 1.3239,                 1.1109,             0.00073181,             0.00073181,             0.00073181
                     20,                 1.1972,                 1.0961,                 1.0656,                 1.2674,                 1.2021,                 1.0034,                0.51161,                0.62176,                0.55152,                 0.3411,                 1.2901,                 1.2468,                  1.151,                 1.3348,                 1.3967,                 1.1001,              0.0006768,              0.0006768,              0.0006768
                     21,                  1.194,                 1.0913,                 1.0873,                 1.2668,                 1.1553,                 1.0407,                0.48874,                0.59287,                0.55725,                 0.3544,                 1.2685,                 1.2469,                 1.1283,                 1.3362,                 1.3301,                 1.0914,             0.00062179,             0.00062179,             0.00062179
                     22,                 1.1773,                 1.0735,                 1.0782,                  1.251,                 1.1249,                 1.0322,                0.55376,                0.57408,                0.57647,                0.35848,                  1.287,                  1.239,                 1.1388,                 1.3398,                 1.3292,                 1.0904,             0.00056678,             0.00056678,             0.00056678
                     23,                 1.1563,                  1.047,                 1.0753,                 1.2159,                 1.1103,                 1.0276,                0.54627,                0.55957,                0.57434,                 0.3612,                 1.2681,                 1.2284,                 1.1402,                 1.3144,                 1.3053,                 1.0823,             0.00051177,             0.00051177,             0.00051177
                     24,                 1.1537,                 1.0153,                 1.0712,                 1.2164,                 1.0632,                 1.0276,                0.54774,                0.58256,                0.59919,                0.37966,                 1.2336,                 1.2032,                 1.1176,                 1.2842,                  1.293,                 1.0574,             0.00045676,             0.00045676,             0.00045676
                     25,                 1.1337,                 1.0061,                 1.0612,                 1.2042,                 1.0454,                 1.0161,                0.54637,                0.59785,                0.59505,                0.36913,                 1.2385,                 1.1794,                 1.1064,                 1.3109,                 1.2712,                 1.0691,             0.00040175,             0.00040175,             0.00040175
                     26,                 1.1274,                0.98236,                 1.0534,                 1.1988,                 1.0277,                 1.0116,                0.54436,                0.62057,                0.61617,                0.38191,                 1.2186,                 1.1842,                 1.1047,                 1.2495,                 1.2845,                 1.0598,             0.00034674,             0.00034674,             0.00034674
                     27,                 1.0997,                0.97684,                 1.0446,                 1.1718,                  1.026,                  1.003,                0.52642,                0.64185,                0.61485,                  0.389,                 1.2233,                 1.1458,                 1.1079,                 1.2585,                 1.2297,                 1.0512,             0.00029172,             0.00029172,             0.00029172
                     28,                 1.0976,                 0.9439,                 1.0389,                 1.1569,                0.98642,                0.99616,                0.52632,                0.62432,                0.60278,                0.38258,                 1.2174,                 1.1686,                 1.0994,                 1.2484,                 1.2697,                 1.0452,             0.00023671,             0.00023671,             0.00023671
                     29,                 1.0794,                0.92751,                 1.0393,                 1.1316,                0.97388,                0.99379,                0.52292,                 0.6391,                0.61623,                0.38797,                 1.1812,                 1.1493,                   1.09,                 1.2054,                 1.2629,                 1.0328,              0.0001817,              0.0001817,              0.0001817
                     30,                 1.0647,                0.91301,                 1.0326,                 1.1244,                0.95889,                 0.9908,                0.56581,                0.60461,                 0.6278,                0.39916,                 1.1987,                 1.1114,                 1.0913,                 1.2373,                 1.2095,                 1.0456,             0.00012669,             0.00012669,             0.00012669
